time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-18T01:09:17.337Z,6.9092,-73.0511,141.472,4.4,mb,45,131,1.011,0.73,us,us7000mzxt,2024-07-18T01:35:40.040Z,"8 km S of Piedecuesta, Colombia",earthquake,5.79,9.054,0.076,49,reviewed,us,us
2024-07-18T00:48:48.423Z,44.6374,148.0945,83.767,4.2,mb,25,185,3.978,0.66,us,us7000mzxg,2024-07-18T01:07:29.040Z,"67 km SSE of Kuril’sk, Russia",earthquake,12.92,12.642,0.141,14,reviewed,us,us
2024-07-17T23:56:09.550Z,33.732,-117.4873333,10.61,2.77,ml,128,30,0.02952,0.19,ci,ci40662919,2024-07-18T19:52:02.613Z,"12 km NE of Trabuco Canyon, CA",earthquake,0.12,0.24,0.212,25,reviewed,ci,ci
2024-07-17T22:26:47.333Z,36.5997,-116.488,7.2,2.8,ml,50,50.06,0.128,0.1454,nn,nn00881044,2024-07-18T02:04:57.949Z,"36 km ENE of Furnace Creek, California",earthquake,,1.1,0.27,20,reviewed,nn,nn
2024-07-17T21:59:27.140Z,33.1956667,-116.386,13.7,3.5,ml,130,15,0.07691,0.2,ci,ci40662719,2024-07-19T03:24:05.810Z,"7 km S of Borrego Springs, CA",earthquake,0.11,0.34,0.152,335,reviewed,ci,ci
2024-07-17T21:10:32.548Z,36.6002,-116.4879,7.9,2.5,ml,40,50.09999999999998,0.128,0.131,nn,nn00881033,2024-07-18T02:04:33.248Z,"36 km ENE of Furnace Creek, California",earthquake,,1,0.37,12,reviewed,nn,nn
2024-07-17T19:49:57.797Z,-5.7604,110.2992,551.134,4.4,mb,70,50,1.288,0.75,us,us7000mzw5,2024-07-17T20:25:02.040Z,"92 km NNW of Batang, Indonesia",earthquake,13.32,8.321,0.074,53,reviewed,us,us
2024-07-17T19:34:48.600Z,18.2196666666667,-67.5436666666667,4.64,2.94,md,9,174,0.3027,0.19,pr,pr71455753,2024-07-17T20:15:44.240Z,"33 km WSW of Stella, Puerto Rico",earthquake,0.88,1.03,0.105418888605049,3,reviewed,pr,pr
2024-07-17T19:17:39.519Z,4.2787,124.6268,11.799,4.7,mb,49,79,2.93,0.87,us,us7000mzvw,2024-07-17T20:03:12.040Z,"155 km SW of Sarangani, Philippines",earthquake,7.9,1.684,0.092,36,reviewed,us,us
2024-07-17T17:55:17.453Z,59.0588,-137.9639,6.7,3.6,ml,,,,0.91,ak,ak02495ee9a3,2024-07-18T17:59:47.225Z,"114 km ESE of Yakutat, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-07-17T17:21:10.051Z,-22.478,-68.3153,143.618,4.5,mb,26,64,0.488,0.62,us,us7000mzuw,2024-07-17T18:40:42.040Z,"49 km NNW of San Pedro de Atacama, Chile",earthquake,5.08,4.25,0.18,9,reviewed,us,us
2024-07-17T16:04:16.408Z,31.688,-104.423,6.1127,2.5,ml,33,60,0,0.1,tx,tx2024nyzk,2024-07-17T21:20:49.040Z,"54 km S of Whites City, New Mexico",earthquake,0.5604697597191209,0.4705611980868141,0.2,33,reviewed,tx,tx
2024-07-17T15:27:28.820Z,36.9811666666667,-121.464166666667,2.62,3.29,ml,117,36,0.04704,0.18,nc,nc75036152,2024-07-18T18:55:52.900Z,"10 km ESE of Gilroy, CA",earthquake,0.13,0.43,0.141,93,reviewed,nc,nc
2024-07-17T15:12:20.510Z,33.8071667,-116.9068333,14.17,2.79,ml,154,17,0.05084,0.19,ci,ci40662231,2024-07-18T15:14:36.836Z,"5 km ENE of San Jacinto, CA",earthquake,0.09,0.2,0.149,240,reviewed,ci,ci
2024-07-17T13:37:28.071Z,60.3482,-152.2912,112.6,2.8,ml,,,,0.36,ak,ak02495bwots,2024-07-19T08:03:39.040Z,"47 km NW of Ninilchik, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-07-17T13:29:54.080Z,19.3918333333333,-155.245666666667,1.03,2.46,ml,32,60,0.008243,0.11,hv,hv74340616,2024-07-17T18:40:19.020Z,"5 km SSW of Volcano, Hawaii",earthquake,0.15,0.12,0.145818415801364,10,reviewed,hv,hv
2024-07-17T11:12:27.510Z,31.4991667,-115.6058333,6.17,2.51,ml,9,110,0.1864,0.21,ci,ci40662023,2024-07-17T18:30:34.312Z,"91 km SSW of Alberto Oviedo Mota, B.C., MX",earthquake,0.43,2.97,0.123,17,reviewed,ci,ci
2024-07-17T10:16:27.730Z,19.3931666666667,-155.248666666667,1.53,2.49,ml,32,52,0.008015,0.1,hv,hv74340311,2024-07-17T17:59:47.540Z,"5 km SSW of Volcano, Hawaii",earthquake,0.18,0.16,0.144539964270799,10,reviewed,hv,hv
2024-07-17T08:53:38.696Z,24.3104,121.6937,22.551,4.6,mb,39,113,0.163,0.68,us,us7000mzs5,2024-07-18T07:03:12.974Z,"38 km NNE of Hualien City, Taiwan",earthquake,3.58,5.681,0.076,52,reviewed,us,us
2024-07-17T08:10:53.220Z,19.3873333333333,-155.245833333333,1.45,2.84,ml,36,61,0.005479,0.11,hv,hv74340091,2024-07-17T13:31:17.040Z,"6 km SSW of Volcano, Hawaii",earthquake,0.19,0.16,0.151238133790094,13,reviewed,hv,hv
